iter	Passed	Remaining
1326	22299	145746
1327	22314	145717
1328	22325	145663
1329	22346	145674
1330	22363	145654
1331	22377	145623
1332	22391	145587
1333	22405	145549
1334	22424	145546
1335	22437	145507
1336	22454	145493
1337	22466	145446
1338	22481	145417
1339	22495	145383
1340	22510	145352
1341	22522	145302
1342	22545	145325
1343	22558	145289
1344	22577	145287
1345	22592	145256
1346	22608	145233
1347	22621	145193
1348	22633	145144
1349	22651	145139
1350	22668	145119
1351	22684	145098
1352	22695	145047
1353	22729	145141
1354	22744	145108
1355	22756	145063
1356	22781	145096
1357	22803	145116
1358	22825	145134
1359	22839	145094
1360	22854	145069
1361	22867	145028
1362	22880	144989
1363	22894	144952
1364	22907	144911
1365	22928	144923
1366	22946	144916
1367	22976	144983
1368	22993	144964
1369	23007	144930
1370	23022	144901
1371	23036	144867
1372	23056	144870
1373	23084	144924
1374	23099	144899
1375	23112	144858
1376	23134	144868
1377	23148	144839
1378	23162	144805
1379	23177	144776
1380	23191	144742
1381	23206	144713
1382	23219	144672
1383	23237	144662
1384	23249	144613
1385	23267	144610
1386	23285	144598
1387	23298	144560
1388	23305	144481
1389	23322	144467
1390	23349	144511
1391	23376	144560
1392	23394	144551
1393	23409	144519
1394	23426	144507
1395	23452	144547
1396	23471	144542
1397	23501	144605
1398	23514	144564
1399	23531	144550
1400	23548	144537
1401	23562	144501
1402	23578	144478
1403	23592	144447
1404	23609	144429
1405	23624	144399
1406	23643	144395
1407	23671	144448
1408	23689	144442
1409	23704	144415
1410	23731	144455
1411	23745	144420
1412	23757	144375
1413	23770	144339
1414	23782	144291
1415	23809	144336
1416	23827	144325
1417	23841	144291
1418	23855	144261
1419	23868	144219
1420	23880	144175
1421	23893	144133
1422	23918	144166
1423	23934	144144
1424	23950	144124
1425	23977	144170
1426	23996	144165
1427	24010	144128
1428	24026	144109
1429	24057	144175
1430	24071	144140
1431	24092	144151
1432	24121	144209
1433	24168	144369
1434	24186	144360
1435	24199	144320
1436	24213	144289
1437	24231	144279
1438	24264	144358
1439	24291	144402
1440	24311	144403
1441	24326	144372
1442	24339	144335
1443	24355	144310
1444	24370	144281
1445	24396	144320
1446	24414	144313
1447	24429	144283
1448	24448	144275
1449	24459	144226
1450	24477	144216
1451	24490	144173
1452	24510	144179
1453	24526	144156
1454	24555	144213
1455	24568	144168
1456	24597	144225
1457	24610	144186
1458	24629	144183
1459	24659	144241
1460	24677	144228
1461	24707	144291
1462	24727	144290
1463	24741	144256
1464	24754	144219
1465	24769	144191
1466	24785	144170
1467	24798	144131
1468	24815	144111
1469	24829	144076
1470	24843	144044
1471	24861	144033
1472	24879	144023
1473	24891	143978
1474	24906	143950
1475	24922	143930
1476	24955	144003
1477	24978	144025
1478	25006	144069
1479	25028	144085
1480	25047	144076
1481	25063	144054
1482	25096	144132
1483	25117	144138
1484	25133	144115
1485	25144	144065
1486	25171	144106
1487	25202	144169
1488	25219	144154
1489	25233	144118
1490	25267	144198
1491	25291	144222
1492	25314	144241
1493	25331	144221
1494	25344	144186
1495	25371	144223
1496	25385	144187
1497	25401	144166
1498	25420	144162
1499	25451	144224
1500	25466	144196
1501	25495	144247
1502	25510	144217
1503	25524	144185
1504	25541	144169
1505	25552	144119
1506	25563	144069
1507	25586	144087
1508	25601	144056
1509	25618	144038
1510	25634	144018
1511	25651	144002
1512	25668	143984
1513	25688	143984
1514	25704	143964
1515	25719	143936
1516	25744	143962
1517	25757	143921
1518	25773	143900
1519	25803	143956
1520	25810	143882
1521	25826	143859
1522	25850	143883
1523	25879	143935
1524	25893	143898
1525	25910	143883
1526	25928	143870
1527	25936	143804
1528	25957	143808
1529	25969	143767
1530	25989	143767
1531	26003	143732
1532	26020	143712
1533	26034	143684
1534	26052	143670
1535	26081	143721
1536	26096	143692
1537	26112	143667
1538	26126	143635
1539	26141	143608
1540	26156	143583
1541	26172	143559
1542	26205	143626
1543	26221	143608
1544	26239	143596
1545	26254	143569
1546	26270	143546
1547	26282	143503
1548	26311	143550
1549	26326	143521
1550	26344	143512
1551	26360	143489
1552	26389	143537
1553	26403	143505
1554	26421	143492
1555	26435	143460
1556	26453	143447
1557	26467	143415
1558	26483	143390
1559	26513	143445
1560	26531	143435
1561	26548	143418
1562	26580	143480
1563	26596	143458
1564	26622	143491
1565	26653	143549
1566	26668	143522
1567	26685	143503
1568	26717	143566
1569	26738	143568
1570	26757	143565
1571	26773	143541
1572	26793	143540
1573	26813	143541
1574	26842	143586
1575	26856	143550
1576	26872	143530
1577	26885	143493
1578	26903	143479
1579	26916	143441
1580	26945	143490
1581	26958	143449
1582	26978	143449
1583	27022	143576
1584	27034	143531
1585	27048	143494
1586	27069	143499
1587	27082	143463
1588	27096	143428
1589	27116	143429
1590	27131	143400
1591	27147	143377
1592	27162	143348
1593	27176	143313
1594	27193	143299
1595	27207	143264
1596	27218	143217
1597	27228	143164
1598	27242	143129
1599	27267	143154
1600	27281	143120
1601	27293	143078
1602	27306	143039
1603	27321	143012
1604	27353	143072
1605	27365	143028
1606	27378	142992
1607	27392	142958
1608	27402	142907
1609	27417	142877
1610	27441	142894
1611	27454	142858
1612	27465	142810
1613	27477	142767
1614	27504	142801
1615	27521	142784
1616	27536	142755
1617	27560	142778
1618	27579	142771
1619	27607	142807
1620	27618	142762
1621	27633	142730
1622	27648	142705
1623	27661	142669
1624	27689	142706
1625	27704	142681
1626	27717	142643
1627	27731	142608
1628	27745	142576
1629	27758	142541
1630	27773	142510
1631	27790	142492
1632	27802	142450
1633	27812	142400
1634	27823	142353
1635	27836	142312
1636	27854	142299
1637	27868	142267
1638	27886	142258
1639	27896	142204
1640	27912	142181
1641	27932	142179
1642	27943	142133
1643	27958	142105
1644	27972	142074
1645	27990	142059
1646	28006	142039
1647	28021	142012
1648	28029	141950
1649	28044	141922
1650	28057	141885
1651	28083	141915
1652	28098	141885
1653	28112	141852
1654	28128	141833
1655	28142	141800
1656	28158	141777
1657	28172	141745
1658	28187	141719
1659	28205	141705
1660	28220	141679
1661	28233	141642
1662	28263	141690
1663	28276	141655
1664	28297	141655
1665	28311	141624
